amplxe: Using result path `/scratch2/scratchdirs/marchdf/pelec-filter-scaling/vtune/0pts.nid00121'
amplxe: Executing actions  0 %                                                 amplxe: Executing actions  0 % Finalizing results                              amplxe: Executing actions 50 % Finalizing results                              amplxe: Executing actions 50 % Generating a report                             amplxe: Executing actions 50 % Setting data model parameters                   amplxe: Executing actions 75 % Setting data model parameters                   amplxe: Executing actions 75 % Generating a report                             amplxe: Executing actions 100 % Generating a report                            amplxe: Executing actions 100 % done                                           
Function	CPU Time	Memory Bound(%)	Memory Bound:L1 Bound(%)	Memory Bound:L2 Bound(%)	Memory Bound:L3 Bound(%)	Memory Bound:DRAM Bound(%)	Memory Bound:DRAM Bound:Memory Bandwidth(%)	Memory Bound:DRAM Bound:Memory Latency(%)	Memory Bound:DRAM Bound:Memory Latency:Remote / Local memory Ratio	Loads	Stores	LLC Miss Count	LLC Miss Count:Local DRAM Access Count	LLC Miss Count:Remote DRAM Access Count	LLC Miss Count:Remote Cache Access Count	Average Latency (cycles)	Module	Function (Full)	Source File	Start Address
fort_fab_plus	1.860000	100.0	0.0	20.7	4.0	39.5	28.4	29.9	0.0	51201536	3200096	5600168	800024	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	fort_fab_plus	AMReX_BaseFab_nd.f90	0x6b73a0
memmove	1.781000	28.1	6.1	1.2	1.3	3.0	11.6	19.8	0.0	786423592	599217976	1600048	1600048	0	0	0.994898	libc-dynamic.so	memmove	[Unknown]	0x1c230
_INTERNAL_25_______src_kmp_barrier_cpp_ce635104::__kmp_hyper_barrier_release	1.762000	0.0	0.3	0.3	0.0	0.0	3.8	21.1	0.0	800024	0	0	0	0	0	1.000000	libiomp5.so	_INTERNAL_25_______src_kmp_barrier_cpp_ce635104::__kmp_hyper_barrier_release(barrier_type, kmp_info*, int, int, int, void*)	kmp_barrier.cpp	0x587c0
__kmp_x86_pause	1.750000	13.3	1.9	0.0	0.0	0.0	6.4	21.1	0.0	0	0	0	0	0	0	0.0	libiomp5.so	__kmp_x86_pause	kmp.h	0x58e68
tpss_thread_manager_enter	1.728000	8.5	5.0	0.0	1.0	0.0	11.6	17.2	0.0	915227456	299208976	0	0	0	0	1.000000	libtpsstool.so	tpss_thread_manager_enter	[Unknown]	0x5f9840
transy1	1.661000	44.3	4.3	0.0	1.4	0.0	16.4	13.6	0.0	912027360	111203336	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	transy1	trans_3d.F90	0x98f1d0
transx1	1.476000	32.8	5.6	0.0	1.9	0.0	17.9	7.8	0.0	972829184	112803384	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	transx1	trans_3d.F90	0x987d50
cmpflx	1.405000	48.9	3.3	0.0	13.2	0.0	22.7	10.7	0.0	398411952	213606408	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	cmpflx	riemann_3d.F90	0x9d3100
pc_diffextrap	1.347000	68.2	0.0	8.7	7.8	35.2	31.0	32.3	0.0	5600168	12000360	7200216	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	pc_diffextrap	Diffusion_nd.f90	0x6fe320
OS_BARESYSCALL_DoCallAsmIntel64Linux	1.236000	6.2	3.2	0.0	0.0	0.9	15.6	17.4	0.0	56001680	104803144	0	0	0	0	1.000000	libc-dynamic.so	OS_BARESYSCALL_DoCallAsmIntel64Linux	[Unknown]	0x70dec
__intel_memset	1.234000	51.1	0.9	0.0	0.0	0.0	11.6	29.6	0.0	51201536	160804824	0	0	0	0	1.000000	libintlc.so.5	__intel_memset	[Unknown]	0x55040
srctoprim	1.230000	59.0	0.0	0.0	1.7	18.0	32.1	31.7	0.0	132803984	76802304	2400072	800024	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	srctoprim	advection_util_nd.F90	0x95f870
actual_eos_bottom	1.215000	63.1	27.1	0.0	8.3	0.0	23.0	9.2	0.0	160004800	356810704	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	actual_eos_bottom	gamma_law.F90	0x918d7e
amrex::BaseFab<double>::mult(double, amrex::Box const&, int, int)::{lambda(double&)#1}::operator()	1.155000	93.3	14.1	0.0	59.5	0.0	23.4	7.8	0.0	59201776	72002160	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	amrex::BaseFab<double>::mult(double, amrex::Box const&, int, int)::{lambda(double&)#1}::operator()(double&) const	AMReX_BaseFab.H	0x680044
tpss_malloc_mod1_ver0	1.131000	22.9	3.3	5.4	2.7	0.0	12.5	15.2	0.0	599217976	737622128	0	0	0	0	1.000000	libtpsstool.so	tpss_malloc_mod1_ver0	[Unknown]	0x19e460
get_sfs_stresses_ydir	1.124000	73.2	19.1	0.0	3.9	27.2	10.5	26.8	0.0	304009120	1600048	1600048	2400072	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	get_sfs_stresses_ydir	lesterm_3d.f90	0x72f6e8
func@0x5f3fd7	1.111000	4.6	2.4	0.0	0.0	0.0	7.8	23.9	0.0	260007800	358410752	0	0	0	0	1.000000	libtpsstool.so	func@0x5f3fd7	[Unknown]	0x5f3fd7
__kmp_yield	1.067000	7.9	2.8	0.0	0.0	0.6	5.0	16.7	0.0	37601128	0	0	0	0	0	1.000000	libiomp5.so	__kmp_yield	z_Linux_util.cpp	0xc8b20
page_fault	1.010000	21.3	2.8	0.0	0.0	7.4	1.7	6.8	0.0	800024	12000360	0	1600048	0	0	0.0	vmlinux	page_fault	[Unknown]	0xffffffff81508000
OS_SyscallDo	0.987000	23.1	9.0	0.6	0.0	0.0	12.0	22.3	0.0	230406912	485614568	0	0	0	0	1.000000	libc-dynamic.so	OS_SyscallDo	[Unknown]	0x70e90
func@0x5a44a0	0.979000	25.1	8.0	0.0	0.0	1.1	18.8	18.8	0.0	304009120	319209576	0	0	0	0	1.000000	libtpsstool.so	func@0x5a44a0	[Unknown]	0x5a44a0
pc_derenstrophy	0.957000	8.2	3.0	0.0	2.4	0.0	6.0	47.2	0.0	184805544	10400312	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	pc_derenstrophy	Derive_nd.f90	0x6efbc0
actual_eos_ytx	0.956000	25.5	15.5	0.0	7.2	0.0	20.0	21.1	0.0	1064031920	685620568	0	4000120	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	actual_eos_ytx	gamma_law.F90	0x918440
SyS_clock_gettime	0.919000	82.1	42.4	0.6	0.0	1.2	12.1	17.6	0.0	8000240	0	0	0	0	0	1.000000	vmlinux	SyS_clock_gettime	[Unknown]	0xffffffff810b3e80
tpss_tp_free_post_cbk	0.919000	12.4	7.5	0.6	1.3	0.0	13.2	23.3	0.0	180805424	123203696	0	0	0	0	1.000000	libtpsstool.so	tpss_tp_free_post_cbk	[Unknown]	0x5bc010
__libc_malloc	0.892000	18.3	6.4	0.0	4.1	0.0	15.1	16.3	0.0	310409312	113603408	0	0	0	0	1.000000	libc-2.22.so	__libc_malloc	[Unknown]	0x7b3d0
get_transport_coeffs	0.825000	56.4	4.0	0.0	8.8	0.0	4.0	15.5	0.0	238407152	147204416	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	get_transport_coeffs	transport.F90	0x919670
func@0x5e9940	0.798000	49.1	25.0	0.0	0.0	0.0	13.3	18.0	0.0	130403912	62401872	0	0	0	0	1.000000	libtpsstool.so	func@0x5e9940	[Unknown]	0x5e9940
_raw_spin_lock	0.778000	93.9	39.0	0.0	0.0	4.3	3.6	14.4	0.0	100803024	60001800	0	0	0	0	1.000000	vmlinux	_raw_spin_lock	[Unknown]	0xffffffff815057c0
read_tsc	0.775000	35.7	23.1	0.0	0.0	0.8	10.8	25.4	0.0	71202136	11200336	0	0	0	0	1.000000	vmlinux	read_tsc	[Unknown]	0xffffffff8100db90
func@0x5f3ef4	0.761000	15.7	6.2	0.0	0.0	0.0	8.5	19.4	0.0	697620928	33601008	0	0	0	0	1.000000	libtpsstool.so	func@0x5f3ef4	[Unknown]	0x5f3ef4
uflaten	0.761000	24.3	8.8	0.0	2.2	0.0	32.4	20.6	0.0	270408112	143204296	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	uflaten	flatten_nd.F90	0x980370
reset_internal_e	0.757000	35.7	6.9	0.0	0.4	5.7	19.1	28.3	0.0	504815144	29600888	800024	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	reset_internal_e	PeleC_util.F90	0x953e70
compute_temp	0.754000	30.3	1.5	0.0	2.3	0.0	8.5	24.7	0.0	398411952	686420592	0	0	0	0	1.000000	PeleC3d.intel.ivybridge.PROF.MPI.OMP.ex	compute_temp	PeleC_util.F90	0x955d60
